Name,slice,aX,aY,bX,bY,mtfSlice,mtfX,mtfY,airSlice,airX,airY,waterSlice,waterX,waterY
r500,384,373,485,387,484,312,352,469,262,352,469,470,383,475
r450,384,324,435,335,433,312,303,420,262,296,413,470,284,426
r400,384,273,384,286,383,312,252,369,262,243,363,470,232,376
r350,384,224,335,235,333,312,204,319,262,204,319,470,182,325
r300,384,174,284,185,283,312,152,269,262,152,269,470,131,276
r250,384,124,235,136,234,312,105,222,262,105,222,470,85,228
r200,384,74,184,86,184,312,53,172,262,53,172,470,34,178
500,958,382,495,393,495,794,361,480,638,361,480,1163,341,487
450,958,368,493,383,492,794,347,482,638,347,482,1163,319,485
400,958,349,490,366,489,794,324,474,638,324,474,1163,298,479
350,958,326,486,343,487,794,299,472,638,305,459,1163,265,477
300,958,296,483,317,481,794,265,467,638,265,469,1163,226,474
250,958,255,478,277,476,794,221,462,638,221,462,1163,172,464
200,958,189,464,218,467,794,145,447,638,145,447,1163,82,454