File Name,_Water1_b1024,_Water1_e1024,_Water1_b1000,_Water1_e1000,_Water1_be950,_Water1_be856,_Water1_median,_Water1_sd,_Water1_mean,_Water1_mode,_Water1_skew,_Water1_kurt,_Water1_min,_Water1_max,_Water1_tot_vx,_Water2_b1024,_Water2_e1024,_Water2_b1000,_Water2_e1000,_Water2_be950,_Water2_be856,_Water2_median,_Water2_sd,_Water2_mean,_Water2_mode,_Water2_skew,_Water2_kurt,_Water2_min,_Water2_max,_Water2_tot_vx,_LungA_b1024,_LungA_e1024,_LungA_b1000,_LungA_e1000,_LungA_be950,_LungA_be856,_LungA_median,_LungA_sd,_LungA_mean,_LungA_mode,_LungA_skew,_LungA_kurt,_LungA_min,_LungA_max,_LungA_tot_vx,_Air_b1024,_Air_e1024,_Air_b1000,_Air_e1000,_Air_be950,_Air_be856,_Air_median,_Air_sd,_Air_mean,_Air_mode,_Air_skew,_Air_kurt,_Air_min,_Air_max,_Air_tot_vx,_OutsideAir_b1024,_OutsideAir_e1024,_OutsideAir_b1000,_OutsideAir_e1000,_OutsideAir_be950,_OutsideAir_be856,_OutsideAir_median,_OutsideAir_sd,_OutsideAir_mean,_OutsideAir_mode,_OutsideAir_skew,_OutsideAir_kurt,_OutsideAir_min,_OutsideAir_max,_OutsideAir_tot_vx,_NIST4_b1024,_NIST4_e1024,_NIST4_b1000,_NIST4_e1000,_NIST4_be950,_NIST4_be856,_NIST4_median,_NIST4_sd,_NIST4_mean,_NIST4_mode,_NIST4_skew,_NIST4_kurt,_NIST4_min,_NIST4_max,_NIST4_tot_vx,_NIST8_b1024,_NIST8_e1024,_NIST8_b1000,_NIST8_e1000,_NIST8_be950,_NIST8_be856,_NIST8_median,_NIST8_sd,_NIST8_mean,_NIST8_mode,_NIST8_skew,_NIST8_kurt,_NIST8_min,_NIST8_max,_NIST8_tot_vx,_NIST12_b1024,_NIST12_e1024,_NIST12_b1000,_NIST12_e1000,_NIST12_be950,_NIST12_be856,_NIST12_median,_NIST12_sd,_NIST12_mean,_NIST12_mode,_NIST12_skew,_NIST12_kurt,_NIST12_min,_NIST12_max,_NIST12_tot_vx,_NIST14_b1024,_NIST14_e1024,_NIST14_b1000,_NIST14_e1000,_NIST14_be950,_NIST14_be856,_NIST14_median,_NIST14_sd,_NIST14_mean,_NIST14_mode,_NIST14_skew,_NIST14_kurt,_NIST14_min,_NIST14_max,_NIST14_tot_vx,_NIST20_b1024,_NIST20_e1024,_NIST20_b1000,_NIST20_e1000,_NIST20_be950,_NIST20_be856,_NIST20_median,_NIST20_sd,_NIST20_mean,_NIST20_mode,_NIST20_skew,_NIST20_kurt,_NIST20_min,_NIST20_max,_NIST20_tot_vx,_Acrylic_b1024,_Acrylic_e1024,_Acrylic_b1000,_Acrylic_e1000,_Acrylic_be950,_Acrylic_be856,_Acrylic_median,_Acrylic_sd,_Acrylic_mean,_Acrylic_mode,_Acrylic_skew,_Acrylic_kurt,_Acrylic_min,_Acrylic_max,_Acrylic_tot_vx,_Bone20_b1024,_Bone20_e1024,_Bone20_b1000,_Bone20_e1000,_Bone20_be950,_Bone20_be856,_Bone20_median,_Bone20_sd,_Bone20_mean,_Bone20_mode,_Bone20_skew,_Bone20_kurt,_Bone20_min,_Bone20_max,_Bone20_tot_vx,_Bone50_b1024,_Bone50_e1024,_Bone50_b1000,_Bone50_e1000,_Bone50_be950,_Bone50_be856,_Bone50_median,_Bone50_sd,_Bone50_mean,_Bone50_mode,_Bone50_skew,_Bone50_kurt,_Bone50_min,_Bone50_max,_Bone50_tot_vx,_OutsidePhantomAir_b1024,_OutsidePhantomAir_e1024,_OutsidePhantomAir_b1000,_OutsidePhantomAir_e1000,_OutsidePhantomAir_be950,_OutsidePhantomAir_be856,_OutsidePhantomAir_median,_OutsidePhantomAir_sd,_OutsidePhantomAir_mean,_OutsidePhantomAir_mode,_OutsidePhantomAir_skew,_OutsidePhantomAir_kurt,_OutsidePhantomAir_min,_OutsidePhantomAir_max,_OutsidePhantomAir_tot_vx,both_b1024,both_e1024,both_b1000,both_e1000,both_median,both_sd,both_mean,both_mode,both_skew,both_kurt,both_min,both_max,both_tot_vx,left_b1024,left_e1024,left_b1000,left_e1000,left_median,left_sd,left_mean,left_mode,left_skew,left_kurt,left_min,left_max,left_tot_vx,right_b1024,right_e1024,right_b1000,right_e1000,right_median,right_sd,right_mean,right_mode,right_skew,right_kurt,right_min,right_max,right_tot_vx,trachea_b1024,trachea_e1024,trachea_b1000,trachea_e1000,trachea_median,trachea_sd,trachea_mean,trachea_mode,trachea_skew,trachea_kurt,trachea_min,trachea_max,trachea_tot_vx,CF95,CF90,CF80,CF75,CF50,CF20,CF10,CF5,Nyquist Frequency,zCF95,zCF90,zCF80,zCF75,zCF50,zCF20,zCF10,zCF5,zNyquist Frequency,CNR,SNR,CNR-v2,SNR-v2
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_200.nii.gz,0,0,0,0,0,0,-4,60.7011,-4.15662,-8,-0.0134933,0.092966,-262,261,206644,0,0,0,0,0,0,-2,59.553,-3.10471,3,-0.0413829,0.0835275,-267,266,205368,95538,2660,175778,3968,417992,916668,-653,219.73,-600.964,-707,0.876665,0.50236,-1185,262,13015062,65823,1685,109749,1826,184329,205816,-1004,43.3542,-1004.05,-1010,0.0120055,0.0352638,-1195,-834,205888,5075171,107741,7798541,116407,12713040,14846277,-1004,51.7561,-1003.59,-1002,-0.00102813,0.10049,-1277,-709,14883256,11240,440,25988,855,91777,198046,-942,50.6995,-942.778,-954,-0.0558351,0.0723297,-1169,-725,206316,349,18,1596,106,18366,155189,-886,46.268,-887.009,-881,-0.030691,0.0689038,-1093,-676,205344,3,1,32,1,819,46120,-821,46.2989,-821.081,-826,0.00168321,0.254627,-1027,-593,206736,0,0,0,0,26,9850,-778,46.3317,-778.017,-784,0.00529014,0.125809,-972,-555,206372,0,0,0,0,0,220,-689,52.4156,-688.367,-694,0.019416,0.125876,-912,-457,203996,0,0,0,0,0,0,121,68.3282,120.72,117,-0.0261917,0.0530553,-160,399,206760,0,0,0,0,0,0,215,60.592,214.524,209,-0.0350434,0.019432,-63,533,207072,0,0,0,0,0,0,672,63.7393,672.37,678,0.00364955,0.0833014,402,970,204596,37934,1580,84023,2091,159955,169440,-664,115.344,-691.707,-660,-1.81895,2.76635,-1149,-402,1666344,0,0,3,1,-637,55.2106,-636.972,-637,0.0346534,0.154499,-1012,-288,215669952,0,0,3,1,-639,54.9135,-638.135,-640,0.0463428,0.174494,-1012,-288,113367800,0,0,0,0,-636,55.5095,-635.682,-638,0.0206715,0.135078,-982,-295,102302152,95313,2335,160124,2934,-991,50.5056,-991.348,-992,-0.0221145,0.0178962,-1228,-762,374552,0.92,1.337,1.971,2.239,3.417,5.181,6.173,6.921,25.6,1.156,1.677,2.536,2.936,5.13,9.755,12.049,13.923,25,1.27382,12.3072,0.571577,5.52237
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_250.nii.gz,0,0,0,0,0,0,-4,60.6918,-4.1815,4,-0.0150779,0.0933508,-261,259,131808,0,0,0,0,0,0,-2,59.511,-3.00462,2,-0.039021,0.0717346,-263,263,133088,61090,1766,112616,2486,267486,586198,-653,219.694,-600.966,-708,0.876569,0.503285,-1186,259,8328950,42348,1120,70639,1212,118627,132404,-1004,43.3093,-1004.07,-1003,0.0136127,0.0458921,-1192,-833,132448,3243689,68588,4985987,74440,8131191,9497912,-1004,51.7534,-1003.55,-1005,-0.00100548,0.101572,-1278,-706,9521728,6940,293,16239,495,57987,125555,-942,50.4654,-942.565,-944,-0.0477334,0.066349,-1171,-725,130800,226,17,1035,62,11921,100692,-887,46.2812,-887.065,-890,-0.0262351,0.070066,-1091,-679,133072,2,0,23,0,515,29461,-821,46.3184,-821.01,-820,0.00226919,0.250518,-1030,-593,131972,0,0,0,0,22,6191,-778,46.3312,-777.938,-776,0.00905442,0.119149,-968,-560,131612,0,0,0,0,0,144,-689,52.3634,-688.621,-695,0.016108,0.115429,-912,-456,130108,0,0,0,0,0,0,121,68.487,120.828,103,-0.0277684,0.0560664,-161,399,132136,0,0,0,0,0,0,215,60.5835,214.587,222,-0.0446754,0.0200201,-65,531,131636,0,0,0,0,0,0,673,63.5613,672.457,681,0.000201294,0.0943129,397,974,130144,214393,9832,513835,14131,1014115,1069698,-999,30.4083,-999.031,-997,-0.00358726,0.0116882,-1148,-846,1069700,0,0,4,0,-636,55.4914,-635.787,-636,0.0358876,0.147152,-1018,-287,147794432,0,0,4,0,-637,55.2427,-636.698,-638,0.0477303,0.165154,-1018,-287,78200704,0,0,0,0,-635,55.7517,-634.764,-633,0.021971,0.12908,-981,-299,69593728,72144,1861,121719,2207,-991,50.4664,-990.68,-990,-0.015839,0.0198432,-1229,-739,288176,0.934,1.331,1.958,2.226,3.387,5.135,6.124,6.883,20.48,1.159,1.681,2.536,2.934,5.125,9.75,12.06,13.928,25,1.27634,12.2849,2.17227,20.9083
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_300.nii.gz,0,0,0,0,0,0,-4,60.6905,-4.19127,5,-0.0195889,0.0983357,-263,253,91552,0,0,0,0,0,0,-3,59.5617,-3.20184,2,-0.0400281,0.0738022,-260,259,91472,42382,1266,77914,1722,185510,407356,-653,219.868,-600.783,-708,0.876336,0.498289,-1187,257,5786503,29302,745,48967,838,82317,91890,-1004,43.2882,-1003.96,-1007,0.0140917,0.0501471,-1194,-833,91924,2254688,47276,3465207,51945,5649238,6597394,-1004,51.7551,-1003.57,-1007,-0.000470004,0.102315,-1278,-719,6614008,4886,182,11421,374,40607,88019,-942,50.5085,-942.582,-952,-0.0430192,0.0587755,-1169,-729,91668,155,10,699,51,8195,69196,-886,46.3502,-886.874,-878,-0.0271297,0.0650726,-1089,-682,91624,0,0,15,2,339,20236,-821,46.3435,-820.853,-819,-0.00164458,0.237623,-1021,-598,91112,0,0,0,0,12,4320,-778,46.2875,-778.031,-772,0.00639505,0.115468,-969,-557,91100,0,0,0,0,0,89,-689,52.3623,-688.402,-691,0.0187227,0.111224,-914,-464,90716,0,0,0,0,0,0,121,68.4846,120.459,110,-0.0302629,0.0554854,-164,400,91220,0,0,0,0,0,0,215,60.6214,214.427,222,-0.0435505,0.00751216,-64,525,91084,0,0,0,0,0,0,672,63.7489,672.273,676,0.00202061,0.0909535,407,973,90576,152517,7428,379160,10749,748166,784654,-999,29.5491,-999.216,-1003,-0.000455314,0.0411225,-1134,-845,784656,0,0,1,0,-636,55.6024,-635.614,-637,0.0387557,0.147742,-1013,-293,103207304,0,0,1,0,-637,55.3616,-636.506,-640,0.0511468,0.166571,-1013,-293,54624056,0,0,0,0,-635,55.855,-634.611,-635,0.0242741,0.128803,-979,-295,48583248,54446,1413,91628,1690,-991,50.512,-990.737,-987,-0.015577,0.0348471,-1221,-739,217160,0.914,1.318,1.937,2.2,3.362,5.091,6.077,6.835,17.067,1.157,1.678,2.537,2.937,5.12,9.717,12.05,13.921,25,1.27564,12.2812,2.23428,21.5104
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_350.nii.gz,0,0,0,0,0,0,-4,60.7192,-4.08833,-4,-0.0131662,0.0927352,-260,258,68144,0,0,0,0,0,0,-2,59.4905,-2.74252,1,-0.0404822,0.0794624,-252,260,68628,31238,896,57440,1298,136446,299352,-653,219.785,-600.908,-702,0.876761,0.501355,-1190,259,4250442,21461,494,35735,609,59972,66930,-1004,43.346,-1004.01,-1014,0.0134146,0.0527694,-1188,-832,66956,1656063,34980,2544545,37627,4148096,4844567,-1004,51.7546,-1003.58,-1007,-0.00134117,0.0977211,-1274,-721,4856536,3765,142,8757,278,30783,66095,-943,50.6206,-943.001,-942,-0.0502766,0.0629833,-1164,-739,68824,119,4,537,34,6061,50710,-887,46.2771,-887.175,-893,-0.0394834,0.066253,-1093,-679,67088,1,0,11,0,278,15032,-821,46.3132,-821.122,-824,-0.00151241,0.24794,-1027,-591,67288,0,0,0,0,8,3137,-778,46.291,-778.009,-778,0.0109148,0.123179,-968,-556,66752,0,0,0,0,0,78,-689,52.3228,-688.357,-691,0.0168463,0.125987,-915,-465,66528,0,0,0,0,0,0,121,68.5539,120.664,137,-0.0254329,0.0542905,-156,396,68224,0,0,0,0,0,0,215,60.7087,214.417,225,-0.0377861,0.00257922,-70,527,67216,0,0,0,0,0,0,673,63.659,672.65,659,0.000454922,0.0900449,403,966,66044,129414,6650,335494,9966,667775,696770,-999,28.6293,-999.185,-1002,0.00116958,0.0948166,-1132,-846,696772,0,0,1,1,-635,55.8765,-634.874,-636,0.0448867,0.15371,-1021,-286,77571036,0,0,1,1,-636,55.6281,-635.818,-638,0.0576287,0.173512,-1021,-286,41025668,0,0,0,0,-634,56.1352,-633.815,-633,0.0299894,0.133905,-984,-304,36545368,48431,1258,81367,1508,-990,50.7496,-990.227,-993,-0.0069608,0.03231,-1214,-741,194352,0.898,1.3,1.912,2.173,3.322,5.024,6.005,6.763,14.629,1.156,1.678,2.537,2.937,5.124,9.711,12.034,13.89,25,1.27627,12.267,2.30718,22.1757
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_400.nii.gz,0,0,0,0,0,0,-4,60.8053,-4.27941,-3,-0.0153548,0.0910388,-255,253,50760,0,0,0,0,0,0,-2,59.6456,-2.41816,-3,-0.0405583,0.0745781,-258,259,51404,23994,668,44046,898,104224,229178,-653,219.812,-600.908,-702,0.878032,0.505123,-1179,263,3253866,16358,433,27203,483,45758,51071,-1004,43.2497,-1003.99,-1004,0.00775787,0.0557976,-1186,-832,51092,1269050,26718,1949211,28663,3177834,3711550,-1004,51.7731,-1003.57,-1003,-0.000938391,0.0986316,-1266,-731,3720736,2769,105,6496,203,23101,49839,-942,50.5329,-942.739,-944,-0.0476531,0.0634898,-1158,-728,51916,89,7,401,23,4674,39506,-886,46.1608,-887.029,-886,-0.0373614,0.0773453,-1080,-684,52276,0,0,8,1,214,11626,-821,46.2162,-821.107,-827,-0.0115759,0.25522,-1020,-598,52000,0,0,0,0,6,2472,-778,46.3217,-778.295,-778,0.0160267,0.117234,-971,-562,51676,0,0,0,0,0,51,-689,52.31,-688.106,-690,0.0238122,0.126245,-919,-458,50756,0,0,0,0,0,0,121,68.5164,120.903,144,-0.0337591,0.0473179,-158,396,51632,0,0,0,0,0,0,215,60.6898,214.232,222,-0.0313635,-0.0069233,-53,528,51344,0,0,0,0,0,0,673,63.6819,672.421,657,0.00107646,0.103861,411,974,50248,103248,5641,279728,8635,560905,582539,-999,27.7953,-999.18,-1000,-0.00111464,0.149145,-1134,-855,582540,0,0,1,0,-636,55.4688,-636.073,-636,0.0393833,0.158159,-1008,-292,56979644,0,0,1,0,-637,55.2469,-636.932,-636,0.0519882,0.177008,-1008,-292,30154080,0,0,0,0,-635,55.7013,-635.108,-635,0.0247435,0.13919,-974,-297,26825564,29506,715,49209,863,-991,50.8555,-990.919,-997,-0.0187824,0.00647663,-1227,-765,115784,0.888,1.284,1.885,2.142,3.285,4.96,5.932,6.693,12.8,1.151,1.671,2.532,2.933,5.122,9.684,12.027,13.885,25,1.27329,12.2858,2.3717,22.8842
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_450.nii.gz,0,0,0,0,0,0,-4,60.6062,-4.02511,-5,-0.0199873,0.107565,-268,250,41016,0,0,0,0,0,0,-2,59.4767,-2.79458,1,-0.0243562,0.0769118,-262,262,40648,18810,582,34640,772,82312,180984,-653,219.792,-600.87,-705,0.877875,0.504422,-1175,249,2571205,12938,350,21621,387,36434,40694,-1004,43.2853,-1003.91,-994,0.0111426,0.0591281,-1192,-833,40708,1001979,21068,1539996,22862,2511762,2933615,-1004,51.7519,-1003.54,-1002,-0.000869268,0.0959273,-1274,-733,2940844,2214,88,5104,162,17944,38640,-942,50.7415,-942.727,-957,-0.0515462,0.0721174,-1169,-727,40260,64,1,301,24,3577,30250,-886,46.2084,-886.895,-879,-0.031019,0.0684463,-1084,-686,40048,1,0,6,0,147,9238,-821,46.0787,-821.079,-824,-0.00365208,0.236952,-1026,-592,41480,0,0,0,0,6,1968,-779,46.202,-778.336,-772,0.0112665,0.132672,-973,-564,40584,0,0,0,0,0,38,-689,52.398,-688.376,-697,0.011395,0.117506,-900,-474,40440,0,0,0,0,0,0,121,68.7185,120.338,135,-0.0207355,0.0489969,-162,394,40768,0,0,0,0,0,0,214,60.5446,213.832,211,-0.0301651,0.0125731,-55,507,41172,0,0,0,0,0,0,673,63.7664,672.53,655,-0.00940034,0.0844758,401,969,40356,44670,2493,124960,3945,252890,262144,-999,27.2927,-998.974,-999,-0.00381722,0.228702,-1147,-856,262144,0,0,0,0,-635,56.1215,-634.237,-637,0.049934,0.155476,-994,-281,47783392,0,0,0,0,-636,55.8465,-635.233,-637,0.0625504,0.176626,-994,-283,25253192,0,0,0,0,-633,56.4072,-633.121,-634,0.0350853,0.134298,-973,-281,22530200,31682,793,53295,1002,-990,51.0799,-990.063,-980,9.51E-05,0.0467627,-1229,-744,127276,0.897,1.283,1.873,2.129,3.273,4.937,5.9,6.667,11.378,1.155,1.673,2.52,2.916,5.099,9.694,12.044,13.833,25,1.27176,12.2553,2.41149,23.2383
Z:\SierenLab\FOVKyotoScans\1024\1024_DFOV_500.nii.gz,0,0,0,0,0,0,-4,60.5582,-4.45418,-2,-0.0280874,0.0735139,-257,240,32892,0,0,0,0,0,0,-1.5,59.52,-2.23916,-4,-0.0313567,0.0898399,-257,260,32840,15254,432,28014,688,66744,146420,-653,219.999,-600.692,-703,0.878571,0.502802,-1169,247,2082992,10511,270,17481,338,29446,32870,-1004,43.3903,-1003.99,-992,0.00638449,0.0719613,-1182,-840,32884,811347,17158,1245806,18677,2033069,2374765,-1004,51.7638,-1003.53,-1005,-0.000545294,0.0981393,-1274,-748,2380640,1717,76,4021,149,14554,31337,-942,50.3111,-942.685,-940,-0.0393722,0.0534356,-1156,-733,32628,53,3,238,23,2951,25131,-886,46.3928,-886.284,-891,-0.0148683,0.0886685,-1070,-683,33484,0,0,5,0,138,7387,-821,46.5146,-821.113,-819,0.011952,0.241361,-1022,-604,32888,0,0,0,0,3,1513,-778,46.1852,-777.933,-782,0.00958097,0.113506,-972,-571,32712,0,0,0,0,0,35,-689,52.3156,-688.485,-692,0.0252212,0.114319,-906,-460,32956,0,0,0,0,0,0,121,68.8029,120.804,126,-0.034662,0.0495982,-159,397,32980,0,0,0,0,0,0,215,60.7993,214.285,226,-0.0369442,0.0120289,-58,536,32740,0,0,0,0,0,0,673,63.5381,672.172,657,-0.00042264,0.102991,404,961,32540,58274,2586,141651,4205,275044,284000,-1000,1573.58,-1361.16,-8192,-4.10931,14.8922,-8192,-856,284000,0,0,1,0,-636,55.7893,-635.223,-638,0.0445601,0.156991,-1009,-283,37542960,0,0,1,0,-637,55.5469,-636.136,-638,0.0574423,0.177434,-1009,-294,19860176,0,0,0,0,-635,56.0424,-634.197,-637,0.0295436,0.136439,-965,-283,17682784,21809,551,36435,666,-990,50.9376,-990.409,-985,-0.0029973,0.0291921,-1217,-753,86532,0.874,1.25,1.826,2.075,3.191,4.811,5.757,6.515,10.24,1.154,1.673,2.523,2.92,5.108,9.667,12.073,13.865,25,1.25901,12.2716,0.0414158,0.40368
Z:\SierenLab\FOVKyotoScans\1024IR3\1024_DFOV_200.nii.gz,0,0,0,0,0,0,-4,60.7011,-4.15662,-8,-0.0134933,0.092966,-262,261,206644,0,0,0,0,0,0,-2,59.553,-3.10471,3,-0.0413829,0.0835275,-267,266,205368,95538,2660,175778,3968,417992,916668,-653,219.73,-600.964,-707,0.876665,0.50236,-1185,262,13015062,65823,1685,109749,1826,184329,205816,-1004,43.3542,-1004.05,-1010,0.0120055,0.0352638,-1195,-834,205888,5075171,107741,7798541,116407,12713040,14846277,-1004,51.7561,-1003.59,-1002,-0.00102813,0.10049,-1277,-709,14883256,11240,440,25988,855,91777,198046,-942,50.6995,-942.778,-954,-0.0558351,0.0723297,-1169,-725,206316,349,18,1596,106,18366,155189,-886,46.268,-887.009,-881,-0.030691,0.0689038,-1093,-676,205344,3,1,32,1,819,46120,-821,46.2989,-821.081,-826,0.00168321,0.254627,-1027,-593,206736,0,0,0,0,26,9850,-778,46.3317,-778.017,-784,0.00529014,0.125809,-972,-555,206372,0,0,0,0,0,220,-689,52.4156,-688.367,-694,0.019416,0.125876,-912,-457,203996,0,0,0,0,0,0,121,68.3282,120.72,117,-0.0261917,0.0530553,-160,399,206760,0,0,0,0,0,0,215,60.592,214.524,209,-0.0350434,0.019432,-63,533,207072,0,0,0,0,0,0,672,63.7393,672.37,678,0.00364955,0.0833014,402,970,204596,37934,1580,84023,2091,159955,169440,-664,115.344,-691.707,-660,-1.81895,2.76635,-1149,-402,1666344,0,0,3,1,-637,55.2106,-636.972,-637,0.0346534,0.154499,-1012,-288,215669952,0,0,3,1,-639,54.9135,-638.135,-640,0.0463428,0.174494,-1012,-288,113367800,0,0,0,0,-636,55.5095,-635.682,-638,0.0206715,0.135078,-982,-295,102302152,95313,2335,160124,2934,-991,50.5056,-991.348,-992,-0.0221145,0.0178962,-1228,-762,374552,0.92,1.337,1.971,2.239,3.417,5.181,6.173,6.921,25.6,1.156,1.677,2.536,2.936,5.13,9.755,12.049,13.923,25,1.27382,12.3072,0.571577,5.52237
Z:\SierenLab\FOVKyotoScans\1024IR3\1024_DFOV_200_IR3.nii.gz,0,0,0,0,0,0,-4,32.537,-4.45893,-6,-0.00834612,0.120461,-139,136,206544,0,0,0,0,0,0,-3,31.7696,-3.66682,-1,-0.0287939,0.0944877,-147,141,205360,29352,2040,110380,4708,421346,798562,-658,212.832,-600.073,-714,0.944714,0.599324,-1096,177,13038718,38260,2448,114983,3541,204016,205888,-1004,22.9343,-1003.92,-1005,-0.000951909,0.0344003,-1106,-914,205888,3309730,163899,8129873,217202,14502455,14883249,-1004,27.6009,-1003.66,-1002,0.00545485,0.111966,-1151,-838,14883260,390,51,3650,318,81609,206237,-942,26.9954,-942.505,-939,-0.0601951,0.0870477,-1063,-824,206352,0,0,0,0,1136,185514,-887,24.3554,-886.977,-885,-0.0298297,0.0705385,-993,-777,205336,0,0,0,0,0,16138,-821,24.3895,-821.239,-825,0.00760386,0.256886,-931,-703,206756,0,0,0,0,0,191,-778,24.3892,-778.322,-777,0.0107303,0.132612,-882,-661,206408,0,0,0,0,0,0,-688,27.6968,-687.79,-689,0.0173889,0.136322,-807,-566,204000,0,0,0,0,0,0,122,36.3467,121.443,127,-0.0301015,0.0423617,-24,267,206800,0,0,0,0,0,0,216,32.9809,215.352,214,-0.046246,0.0350406,57,386,207096,0,0,0,0,0,0,673,35.3211,672.613,665,0.00247476,0.148751,520,841,204648,14824,1673,88057,4094,177188,177520,-661,109.901,-694.101,-658,-2.26471,3.69616,-1081,-526,1645336,0,0,0,0,-637,34.622,-635.846,-640,0.221034,0.230337,-904,-404,222827216,0,0,0,0,-639,34.4163,-637.094,-642,0.238273,0.281212,-903,-404,116970440,0,0,0,0,-636,34.7959,-634.467,-638,0.200978,0.181777,-904,-423,105856776,65838,4196,219595,8479,-991,27.45,-990.666,-994,0.00952568,0.0634614,-1116,-851,611052,0.898,1.303,1.926,2.195,3.406,5.164,6.113,6.84,25.6,1.149,1.672,2.539,2.94,5.057,9.525,12.06,14.019,25,2.38173,23.0371,0.598157,5.78563
